FACILITYID,flood_risk_area_m2,flood_risk_percent
10001073,938812.9130559553,17.457169456387813
10001067,0,0
10000479,822941.3351551617,22.621942635996767
10001450,1536081.3435133118,43.681009532732624
10003934,580485.7461267927,13.131108104799921
10004913,1695525.9592830501,34.69882966423696
10000316,757492.0524889302,16.509988304049454
10000320,878033.4213456528,17.278044375170587
10000317,95212.88497616195,2.5150627298460195
10006655,0,0
10006153,15946.90789126612,0.32187573032876227
10004475,54791.33408894878,1.5586600566545785
10000325,602576.0397170725,12.852110402057118
10002129,1428.5513701882298,0.031082451087784107
10001421,NA,NA
10002146,27532.110534202948,0.5920096161870231
10002134,720454.1764414146,15.620635937510949
10002138,0,0
10002144,783680.0634580542,17.06141083646432
10006154,210413.29936426587,4.544706967759382
10004496,285744.78666719334,7.070002665440045
10000298,1146239.6317928934,21.543365077557645
10002141,358137.09918635327,6.797326064148915
10000297,156850.05446152753,3.388598732735354
10000284,1422660.16894018,30.621181836986327
10001415,NA,NA
10006453,346699.8046830188,7.935775937539099
10000303,716781.9731896437,15.491213928434549
10000323,16352.119649281105,0.3834283249666017
10005199,0,0
10002137,10096.467036512524,0.21409236758821065
10001423,49781.93193532963,1.4102374254828105
10001414,998121.4573173521,29.315677579832457
10006322,140724.39396772566,3.2826643784831218
10000304,162095.03186396972,3.795711909116184
10004515,1423450.4117001838,39.44792046943745
10000309,1549016.4451013494,33.44142046367898
10000307,2224476.564626824,48.623958313515125
10000310,99086.93036263218,2.084348641213952
10000328,2084359.6814510885,42.98475521987524
10001432,1099000.950398227,32.235277007560526
10002147,286769.30599031644,5.954064392160295
10000283,297787.03103832644,7.005563617596325
10002126,0,0
10004453,0,0
10000318,1230190.7178517284,26.647634084849614
10004514,1424066.0067455377,37.7913107699857
10002135,963584.142028728,26.027261970680666
10004517,241901.13473781035,6.481553459284838
10004476,421987.4311731023,10.644770727828915
10000295,1289103.0552452828,35.029516896124996
10004522,779989.6730480592,20.958309308990763
10003891,229001.05478828805,6.2858895694771615
10002140,34866.44756291341,0.9898986444924015
10003900,69677.45954247376,1.9161449059939586
10003878,508689.77937640925,14.461521019354995
10003943,332891.1223107292,9.18920740491885
