FACILITYID,rmp_prox
10000622,0.0699557962927407
10000624,0.17439265604113213
10000626,0.021649002534452424
10000627,0.14544677725577587
10000628,0.14107836554920414
10000630,0.13052942876521542
10000632,0.011117232036219185
10000633,0.2673068381366242
10000635,0.9775488689252602
10000636,0.8972501041918216
10000638,1.434377790215662
10000639,0.16140363508707345
10000641,0.18573641362325027
10000642,0.25936706508151786
10000644,4.764114370364167
10000646,1.4954678687923861
10000647,1.4824327056168582
10000652,0.15715339404439865
10000653,0.9147089819432912
10000655,1.092311777632087
10000657,0.8721877936744231
10000658,1.497316162983313
10000659,1.9275779454352608
10000660,0.10316330206571832
10000662,1.5090321252533134
10000664,0.18781196845369919
10000665,0.16706695309247688
10000667,0.8700887965338578
10000669,0.3402499271445001
10000671,0.5804939220251031
10000672,0.17428658009317588
10000673,0.11029755343659257
10000674,0.08455095032737821
10000676,0.9907243580118252
10000677,0.20179494705644002
10000678,0.6115103336000074
10000679,0.288087278580196
10000680,0.3100272417414576
10000682,0.2306866582567372
10000683,0.15354639857772512
10000685,0.45812999704445434
10000687,0.2720688340380731
10000688,0.15600053281939186
10000689,0.319461912467984
10000693,0.3415888875776487
10000694,0.14732162357179215
10000695,0.08177141529103743
10000696,0.07737705274313134
10000699,1.619760714039252
10000701,0.8250230405453434
10000704,0.12062846823011832
10000705,3.015876933845134
10000706,0.17514834731350803
10000707,0.18550801482085588
10000709,0.0333139494063451
10000712,0.09219941530536957
10000713,0.08189973124400911
10000718,0.26395549397941465
10000719,0.09800610458678524
10000720,0.09395568004728666
10000721,0.06375944386785838
10000724,0.03824957066004694
10000728,0.6397632605162084
10000729,0.04378623295040739
10000733,5.40158835101594
10000737,0.17651391024438065
10000744,0.023143045856809333
10000745,0.09678084782815101
10000751,0.06367724200077765
10000752,0.18518042661853004
10000754,0.03594655092796921
10000756,0.04553074668772765
10000759,0.08948218566549254
10000761,0.023463914219518583
10000762,0.02260175444567075
10000763,0.04458980854475581
10000765,0.09760822743965984
10000770,0.04186319819493057
10000771,0.012139575993378325
10000772,0.030615454200833968
10000773,0.08153378668722303
10000774,0.015190289902639324
10000780,0.3704544157444158
10000782,0.26841417319094474
10000784,0.0873152965573687
10000785,0.527702630302825
10000786,0.08875199495528685
10000789,0.11092259735318961
10000790,0.8464279846179925
10000793,0.7803854418795204
10000794,0.14371778994044157
10000796,0.5404199055195901
10000799,0.5190998717348265
10000801,0.19365758894581817
10000802,0.15442185226195063
10000806,0.3022803186845684
10000810,0.6980799341515445
10000811,0.038084533516095295
10000814,0.042558197636494724
10000817,2.033097849364143
10000821,0.684072043064382
10000822,1.4833213258524114
10000824,0.5437032134040622
10000825,0.5950528952516096
10000826,0.28432910728205424
10000830,0.26292785670147334
10000831,0.2891766632157549
10000832,0.26888239437789924
10000833,0.28455313676873234
10000836,13.16992125048558
10000838,0.05198512701027397
10000840,3.5693822766047774
10000841,0.4090628790083038
10000844,1.0427043562642573
10000847,0.33003591160654405
10000852,0.11889549842328259
10000856,0.2228889242235431
10000857,0.2166299566413753
10000858,0.032371208929677583
10000861,0.20882442082191724
10000863,0.17172611294055448
10000864,0.15018564382573832
10000867,0.15818122938456508
10000869,0.7086467605908879
10000871,1.8599356837400856
10000874,1.777732776270742
10000877,0.08269714333566264
10000878,0.013947697475946465
10000879,0.03238620528249327
10000881,0.20863185570610138
10000887,2.686544148898368
10000892,3.012019616168713
10000901,0.04135279358128301
10000902,0.10373595332939539
10000904,0.07032711319831927
10000905,0.1396859419111653
10000915,0.38396352749609053
10000917,1.4646358296172852
10000918,1.4503186849806358
10000919,4.285453736581803
10000923,0.25725160742161535
10000924,0.4407705550246834
10000925,0.615047829975615
10000926,0.218145883245288
10000927,1.8981510611446795
10000928,0.06890404972078837
10000929,0.06834313511159967
10000931,0.27892123229829097
10000933,0.057781241010510534
10000934,0.06209372352081932
10000935,0.16913082809641639
10000937,0.6944105085885139
10000939,1.988535006493466
10000941,0.11372817148572112
10000942,0.296110176091836
10000948,0.06597244382489992
10000949,0.7640599506327689
10000953,0.05680470821097266
10000954,0.24966148774916552
10000955,0.08528080294605014
10000956,0.0811731301181948
10000960,0.05899914680348185
10000963,0.0318278582805228
10000967,0.03936256309215409
10000968,0.4783816189708102
10000972,5.324127000157614
10000974,8.137727958267636
10000976,0.163086001042427
10000980,0.4807055150795735
10000981,0.7685090190763
10000982,0.08909032800377599
10000984,0.2160442743355214
10000986,0.045114496151467454
10000987,0.006064981838799683
10000988,0.028849294633435895
10000990,0.1975543953269339
10000991,0.045151046287693924
10000992,0.7843816500076026
10000993,0.06852048333918453
10000994,0.06228930515577562
10000995,0.05087011951127217
10000998,0.054933509337272715
10000999,1.500387187187051
10001000,0.10844239679233028
10001001,0.0731257900410527
10001002,0.24208248500643556
10001003,0.1064224197850655
10001004,0.09029278391828362
10001005,0.23430887580981252
10001007,2.208918967249783
10001008,0.23180699966153012
10001009,2.019949061289328
10001014,0.024042236390475803
10001015,0.017017942823332046
10001016,0.8746486247095364
10001017,0.03417019301472555
10001021,0.14507380349973206
10001023,0.0515754944145655
10001025,0.06687673296298022
10001027,0.5960092456543333
10001028,0.13137422536143023
10001029,0.6832515852642804
10001030,0.5297450016474613
10001031,0.49758747667315634
10001033,4.784368773616691
10001034,0.5279951320298722
10001040,0.6059674487524314
10001042,1.5392092539896096
10001043,1.9560318024290417
10001044,1.7819740458383238
10001045,0.358981263785765
10001048,1.1659733497379765
10001050,2.236459996016652
10001051,0.6851767607898969
10001052,0.11958444762913018
10001054,1.0953554921458575
10001059,0.19113915194298337
10001060,0.32021684426322705
10001061,0.4824216840609171
10001062,0.23700572160192776
10001063,0.1373071247160852
10001065,0.22748292753102406
10001067,0.14765916317338365
10001068,0.16149461016657715
10001071,0.12887312427598074
10001072,0.37716153255876367
10001073,0.9167929452731103
10001075,0.02811822559464847
10001076,3.010048720249235
10001077,0.2980601568528712
10001078,0.7373778297656608
10001080,0.1288865930429317
10001082,0.27651127101510475
10001087,2.328601086839509
10001089,0.210706662065014
10001090,0.07860817557818378
10001091,0.7958356922340633
10001093,1.0082261563008403
10001095,1.744198796575434
10001096,1.1921674347265774
10001099,0.5229548696702903
10001100,0.5448216715483001
10001102,0.023036812531245912
10001106,0.03785911223923845
10001108,0.10412258996849189
10001116,0.1723600574679267
10001118,0.8888801982782093
10001120,0.06778718015880485
10001121,4.770895541728783
10001123,4.21569433560476
10001125,2.572530924385716
10001126,0.1474871676395551
10001128,1.69944909876249
10001129,0.168275406997408
10001132,0.0322440778171901
10001133,0.20021960746720818
10001134,0.15180542626685206
10001135,0.14517803404900156
10001137,0.14144957933868516
10001138,0.29285120904994405
10001141,0.14260135349153974
10001142,0.14840528156580854
10001143,0.16452325513888866
10001145,0.037949573328700074
10001146,0.039617498658716555
10001147,0.06592678737584166
10001150,0.05038772666238045
10001154,1.0731266445437273
10001155,0.275810130219223
10001156,1.2758213191998549
10001158,0.008629970180229967
10001162,0.06875197658142601
