FACILITYID,trafficProx
10001913,0
10001116,0
10002436,NA
10003780,NA
10001918,7.752984950491288
10006666,0
10006667,NA
10003794,0
10001244,0
10003775,0
10003774,0
10003773,0
10000613,0
10000830,0
10000580,0
10004645,0
10003385,0
10002097,22.585280147852917
10001749,15.360796447678453
10002558,0
10000191,0
10002638,55.11813927871414
10001974,165.12841823592316
10002640,0
10001975,23.841982152643673
10001787,0
10001750,0
10004159,0
10004157,0
10002531,0
10001775,0
10000954,0
10002656,11122.799294702525
10001025,0
10004193,0
10000624,0
10001865,1035.0462838398928
10002569,0
10006298,0
10000601,0
10004197,NA
10000627,0
10001860,7030.042114593279
10003614,0
10003615,0
10003392,0
10000141,0
10003069,0
10003070,0
10003578,0
10001027,NA
10001770,0
10000892,NA
10000867,0
10006542,0
10000579,0
10000581,0
10001727,NA
10001728,NA
10002206,290.41010413670796
10001754,0
10005114,3.502573701246892
10001095,3206.471853605645
10004952,4885.286331099982
10001782,148.07073725824367
10005694,NA
10006173,0
10000991,NA
10006174,0
10006193,0
10006299,0
10000582,0
10000935,34.60844509387913
10000338,0
10000550,368.74220753093107
10000456,0
10000136,NA
10002565,0
10006171,0
10006172,0
10006238,0
10001771,315.05126145897486
10000683,0
10000603,0
10000163,155.93997224925707
10000833,0
10001778,0
10000831,0
10001784,0
10000660,20.846514098366477
10000832,0
10000863,0
10000685,4246.602889304479
10004714,217.93181976321998
10004724,932.9288374318354
10000330,0
10000375,NA
10000639,875.7290733696022
10000183,0
10003386,0
10000116,0
10001799,0
10006309,131.01149539921636
10000275,NA
10006512,0
10000542,264.5179575054491
10001040,0
10000712,0
10001028,0
10004812,383.865450145165
10003376,67.66344442981575
10003148,1409.9033138488248
10000713,0
10001346,0
10001362,0
10002416,0
10000967,18.227400194789286
10002084,41.4419571870921
10002095,NA
10003378,47.06246766418485
10000099,0
10000948,0
10002088,0
10001125,1923.2347098670114
10000226,53.9434810397471
10003826,58.44175970085723
10000172,288.11251613804956
10006945,NA
10006946,0
10000277,528.7683537604835
10001387,1445.0808639232039
10006947,0
10006949,NA
10000272,63.921560949879265
10004034,NA
10001389,65.87121135855502
10001366,71.52228294994269
10003444,0
10001342,56.02900153973043
10006546,NA
10006951,0
10003834,25.635076891526904
10001135,NA
10001435,21.305032989612087
10006960,677.5401368331992
10001484,0
10003824,10.805645563737274
10001341,0
10001347,0
10006971,0
10001386,324.0123943099785
10003167,19.406722896743766
10001283,0
10002330,0
10000273,34.756667384084814
10001357,40.444237934909886
10001989,0
10004594,0
10003607,0
10004595,0
10004647,NA
10000605,353.1389147699183
10000606,2075.0727756562574
10001979,0
10001134,0
10002245,14721.327432418928
10005863,0
10004632,0
10002249,0
10000984,409.16169263384603
10002248,0
10000598,0
10000628,0
10000595,2.3501778629380645
10000622,406.0406316953985
10000618,48.675282734456786
10003348,NA
10003389,0
10003342,10.945502165134124
10003957,0
10006312,144.88270614056393
10005784,0
10003413,748.2721470820495
10000626,0
10002244,827.366810667991
10006610,NA
10003973,0
10003974,0
10000188,0
10002246,1435.9603069991895
10002247,2179.415205512593
10000826,NA
10000852,0
10000836,382.97360903911806
10002341,0
10002345,NA
10000794,0
10002692,8.764263767335512
10001293,729.4271338750959
10001001,0
10000992,NA
10000998,0
10001003,NA
10000785,43.12401624854016
10000824,0
10006185,56.90872704927803
10000825,0
10003424,17.510840538847084
10003356,0
10003412,NA
10003414,0
10000976,0
10000801,0
10003377,5.865924157926684
10002571,NA
10001002,NA
10002323,30.343838661709558
10003415,11.790717694684703
10002346,0
10002607,3.869305707449749
10001000,NA
10003425,0
10002353,0
10002431,0
10002570,12.847046845322499
10001008,NA
10003350,NA
10003362,0
10003363,NA
10003432,39.7078390225584
10003419,13.998553327337795
10003398,38.3459951284571
10003365,NA
10005978,0
10005985,NA
10003411,NA
10003390,0
10003381,NA
10000841,0
10000972,0
10003423,NA
10002522,0
10000953,0
10002517,0
10000988,0
10000844,11.653068382083529
10002568,0
10006671,0
10001177,1461.6690754608471
10002803,40.32684651966821
10006544,0
10002309,NA
10006530,104.44400808404691
10000810,0
10000869,0
10001183,0
10000847,0
10000802,0
10003405,0
10000821,0
10005251,0
10006347,0
10005248,0
10000771,0
10002428,0
10002432,0
10003433,0
10000902,0
10000905,0
10000822,NA
10000858,0
10000904,0
10003357,0
10000982,45.87987325425342
10006623,42.252715712284285
10001949,29.158713193748646
10005290,0
10005252,0
10003397,93.0404970677424
10005253,NA
10003372,0
10000014,NA
10005263,0
10005305,0
10000013,1022.8704285054908
10006624,0
10005264,0
10005324,0
10006204,0
10000856,0
10000878,0
10000774,0
10000901,0
10000814,0
10000786,510.27874386182987
10000789,0
10002349,0
10001261,235.95335649847453
10006186,NA
10001522,0
10002310,0
10006531,0
10006532,4.7515523454732635
10000793,0
10005328,0
10000050,NA
10000010,NA
10002340,23.641204709823324
10003475,176.1529853277463
10005299,0
10005256,0
10000877,0
10003349,0
10000756,0
10002923,2008.0859513284215
10000782,NA
10003911,44.56447856467952
10006571,0
10000564,111.42312075957092
10001154,NA
10006581,NA
10003629,NA
10001708,0
10006326,0
10006327,0
10005212,0
10004572,0
10000332,0
10000361,0
10000357,0
10000391,0
10004558,0
10000403,0
10000382,0
10000410,7.884027441756313
10000420,0
10000416,0
10000518,NA
10000665,0
10006210,0
10000647,0
10000667,0
10000636,223.53784783241474
10002259,368.0969283467757
10001786,0
10000695,0
10000652,0
10004734,0
10006508,0
10000693,317.8644561234839
10002258,49.573475826985316
10004732,0
10000677,358.0713152435235
10000638,447.6822230508352
10000457,0
10000635,31613.243285792625
10000662,25.378667319191692
10000455,0
10000669,112.17436307704806
10000646,116.37295238142198
10000674,23.205297548137096
10000687,0
10000682,22.322838443974433
10000664,0
10004677,2.929086372385068
10006351,0
10000657,21981.567090992077
10000688,60.542817502236524
10000672,0
10006352,0
10000673,59.94512754435304
10004667,907.2631167600522
10000641,0
10004694,5.0051950359383675
10006147,0
10003542,12.256947893364158
10001718,273.97986453541716
10006654,0
10000263,0
10006383,4512.772194489249
10001337,NA
10001325,NA
10001331,NA
10001322,0
10001333,NA
10006211,0
10001319,0
10006549,NA
10001062,121.56730863413003
10001073,24.35095340246415
10001067,0
10000479,NA
10001450,NA
10003934,0
10004913,0
10000316,0
10000320,10.422915561779854
10000317,10.231981033189651
10006655,0
10006153,73.20901829634244
10004475,4047.256869199139
10000325,0
10002129,0
10001421,0
10002146,0
10002134,0
10002138,0
10002144,0
10006154,0
10004496,52.75808702944561
10000298,NA
10002141,0
10000297,0
10000284,0
10001415,762.0089752559361
10006453,0
10000303,0
10000323,30.168888495902415
10005199,87.77179330724694
10002137,20.89036460692477
10001423,382.830135292788
10001414,314.9857338540964
10006322,0
10000304,129.3595975759814
10004515,0
10000309,0
10000307,0
10000310,0
10000328,0
10001432,0
10002147,861.9378521946503
10000283,0
10002126,0
10004453,0
10000318,0
10004514,0
10002135,92.04811211555838
10004517,0
10004476,519.7078651402601
10000295,56.26682771136737
10004522,51.880619518945416
10003891,52.6063216777522
10002140,34.67796263984067
10003900,880.7512552144368
10003878,478.83919992306744
10003943,11.705486317454676
10000293,368.51397782520064
10001424,0
10002118,691.1664330491684
10002115,173.43840935123748
10004484,84.6485610081082
10004260,0
10000312,29.92494982836025
10000838,0
10006344,51.83791926612184
10004251,NA
10002192,14.697698007905691
10006567,0
10004248,139.91395440311697
10000508,0
10004170,0
10002633,0
10000337,0
10000388,0
10001766,NA
10001798,0
10002174,0
10002177,0
10004614,0
10004194,0
10006534,0
10001769,0
10004210,NA
10002657,72.76421651893897
10000485,NA
10001797,0
10004190,NA
10000442,0
10000459,66.71449421315882
10004651,NA
10003507,0
10004625,0
10000498,0
10006535,94.40348051617465
10001709,0
10000463,NA
10000515,NA
10002184,NA
10002182,0
10001705,NA
10002157,NA
10000390,0
10001014,0
10000363,35.989860528935345
10001720,136.63729576013444
10000345,514.1152240095282
10000374,1041.8487293477067
10004569,34.21211788908322
10004567,0
10000450,NA
10003496,0
10006330,NA
10000400,NA
10001454,0
10001711,0
10004639,1107.4531106040124
10004606,NA
10004650,NA
10003538,0
10000480,0
10004611,123.25185794043898
10002178,NA
10006324,NA
10004612,0
10001459,NA
10006664,0
10001717,0
10003515,0
10003546,0
10006332,0
10001015,0
10004656,1087.0913882390919
10002716,0
10001978,0
10000190,0
10001969,0
10000247,0
10001984,45.986998353016475
10000243,132.20123350384506
10000154,13.544564033875842
10002726,0
10002905,0
10002920,0
10000151,0
10000174,0
10000246,0
10000197,0
10002893,0
10000198,0
10002784,0
10002822,0
10000212,0
10000215,0
10000206,0
10002714,11.950116130122545
10000200,42.587531819288635
10002917,0
10002916,0
10002857,17.274971891620215
10002928,0
10000204,48.38187287766137
10000213,1600.1697711580437
10000184,0
10002835,0
10000216,20.25800302832438
10002799,17.43058385491966
10002845,0
10000224,0
10002827,0
10002791,61.08009433525097
10000209,266.1585969718781
10005130,313.17285830587724
10000196,0
10000210,391.5375664323931
10002755,836.1550783809051
10000234,0
10002886,131.0713200734392
10000161,0
10000152,0
10001966,0
10000228,1566.9705534204118
10002858,555.6462350169231
10000208,0
10002876,37.33404642038557
10002862,0
10000203,0
10002828,15.676198403719198
10000248,0
10000176,0
10000122,0
10000120,0
10000103,0
10000101,0
10000111,0
10000118,0
10000119,0
10005208,8.772968261508701
10003951,NA
10006345,675.3471287337042
10000560,308.90292076448924
10002226,0
10000578,NA
10000385,0
10005261,0
10000773,0
10000799,0
10001530,0
10000428,23.215437399372302
10000056,0
10000384,0
10000394,74.69143142159015
10000414,NA
10000381,0
10006189,0
10000430,35.01781471705027
10000418,0
10000419,0
10006206,0
10000444,0
10000055,0
10000057,13.384068376831527
10005642,95.72931224061566
10005640,6.5476586463596
10006207,0
10001218,0
10006195,17.37032859744734
10004094,0
10000963,0
10005933,176.55213309744326
10000949,537.3484523021177
10000327,23.19296884998963
10006511,76.18638220735734
10000292,168.88462461679615
10000329,66.76922808389224
10004574,0
10000460,3323.269717919644
10002175,0
10000504,10.982252170474347
10006167,0
10000494,0
10000465,542.3470059739958
10000453,NA
10000437,NA
10000440,0
10000473,0
10004139,62.293525164967086
10004126,20.021368275286726
10004137,149.10152252493504
10004138,76.90174023178349
10001738,0
10004127,383.9239045372309
10001739,2487.8734564816427
10004125,0
10001742,0
10001743,21.039900219937287
10000467,128.69010961062207
10004140,0
10002187,0
10000546,0
10004646,0
10000512,NA
10000679,80.15255315253228
10000680,44.106580830776224
10000658,135.25555227778625
10000659,0
10000694,0
10000633,0
10000308,0
10006659,34.1858431281652
10001470,1159.296203582978
10000642,0
10000315,5.85471536234727
10004527,9.214923718423416
10000545,0
10000510,NA
10000495,0
10000653,357.47047024684525
10000547,0
10000548,0
10003928,10.104762057906377
10002121,NA
10000314,0
10000313,631.1366253703203
10000100,0
10001162,0
10001165,10.291473506800882
10001163,0
10005035,0
10001977,18.378896982073496
10002957,0
10002105,0
10002106,0
10006350,0
10000689,0
10000220,0
10006300,0
10000225,390.96634469131186
10000790,NA
10000817,NA
10000644,113.95854010954517
10001146,0
10005273,0
10005113,7.88698388370635
10000780,13.947507428754884
10000671,29.812562049516508
10006149,0
10000928,0
10000926,NA
10006209,94.92895356198726
10000857,2368.5246241488308
10000861,0
10000655,93.30636039451373
10000678,0
10000407,0
10000319,0
10006239,175.2533946631551
10000285,125.01337623402875
10004536,50.13642592557217
10002102,0
10001411,1555.7621828682206
10001426,516.3137705786282
10001158,494.3856338628331
10001156,NA
10006580,NA
10000720,0
10002759,0
10001990,0
10001605,1135.7763580526882
10000402,0
10003624,0
10001933,NA
10001155,0
10003625,0
10006572,0
10006574,0
10006575,0
10001972,0
10005282,0
10002693,4.620081719907687
10000084,0
10000062,249.12149832605732
10002139,0
10000302,8.162188794375346
10000761,62.97047164611558
10000573,39.60577870902799
10000576,0
10006177,0
10006178,0
10000587,69.86594460025199
10000593,0
10000554,10.720941829316944
10002221,133.36364512092788
10000004,170.0219032098789
10000044,0
10002207,134.5001475100849
10002204,1176.1845691325811
10002217,0
10000572,0
10002228,0
10002227,0
10003209,119.73943944842215
10003468,101.64888682831878
10006533,0
10006615,7.9549052366280835
10001184,26.95961828216408
10004339,0
10001186,148.54334136738936
10001182,0
10001181,0
10001185,0
10001173,0
10001172,0
10001187,0
10000934,0
10000927,27.77715912519362
10000937,102.06768616901226
10000955,0
10000939,150.9910466678739
10001489,0
10000931,NA
10004089,0
10000933,48.4663254911617
10000929,0
10006618,206.01013951363885
10000765,0
10002400,NA
10000772,0
10002399,75.35210447983178
10005380,NA
10002401,NA
10002348,0
10001931,0
10000960,0
10002398,395.7739694051738
10002395,48.3754234493909
10002396,87.40640910031664
10002397,5797.552832879796
10000796,0
10005283,0
10000704,268.4325022112893
10000699,NA
10000041,3.7412017391171104
10003147,0
10000705,NA
10006200,0
10000037,NA
10000706,NA
10000707,NA
10000701,NA
10002260,NA
10002261,0
10006152,0
10002262,0
10000002,NA
10000006,0
10006199,0
10000043,0
10000023,0
10000887,0
10000974,0
10000806,0
10000871,1400.984841422509
10005219,NA
10001106,0
10001108,NA
10006387,NA
10000028,0
10003595,NA
10000336,0
10006197,0
10001879,0
10006191,NA
10001102,0
10001445,0
10000042,NA
10006192,14.509098618934727
10000033,NA
10002153,0
10006205,0
10000422,0
10000412,0
10000411,0
10000369,0
10000333,0
10001126,0
10000334,0
10000392,0
10000365,16.86886115790167
10000368,38.101406943419214
